epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.772,1.46577,2.7656,0.01178,0.5517,0.50059,0.50361,0.23951,1.87059,1.96072,0.02406,0.000237635,0.000237635,0.000237635
2,1979.66,1.53243,2.05524,0.0126,0.62654,0.50478,0.55905,0.2629,1.97883,1.78901,0.02681,0.000475554,0.000475554,0.000475554
3,2636.12,1.53987,1.98207,0.01268,0.62828,0.51071,0.53743,0.25356,2.04057,1.76102,0.02777,0.000713151,0.000713151,0.000713151
4,3167.35,1.54027,1.90767,0.01277,0.68588,0.52827,0.58345,0.28752,1.97632,1.65784,0.02624,0.00071291,0.00071291,0.00071291
5,3855.29,1.49063,1.78064,0.01202,0.68112,0.56279,0.61828,0.29834,1.96081,1.55768,0.02571,0.000712064,0.000712064,0.000712064
6,5591.2,1.47375,1.69132,0.01171,0.70709,0.61188,0.65913,0.33143,1.89439,1.40676,0.02555,0.000710976,0.000710976,0.000710976
7,6096.56,1.43801,1.62014,0.01146,0.7254,0.64662,0.69217,0.33404,1.90614,1.3121,0.02462,0.000709649,0.000709649,0.000709649
8,6653.47,1.4378,1.59917,0.01123,0.84224,0.6299,0.72326,0.37182,1.8073,1.1723,0.02264,0.000708082,0.000708082,0.000708082
9,7071.65,1.40115,1.51297,0.01108,0.78357,0.65672,0.72717,0.37943,1.84674,1.18609,0.02401,0.000706277,0.000706277,0.000706277
10,8783.5,1.38562,1.48034,0.01081,0.82758,0.61145,0.71314,0.37351,1.8119,1.23839,0.02319,0.000704235,0.000704235,0.000704235
11,9334.32,1.37365,1.43529,0.01078,0.79282,0.65741,0.72545,0.37202,1.83566,1.17045,0.02337,0.000701957,0.000701957,0.000701957
12,9652.67,1.3494,1.39085,0.0105,0.80113,0.64131,0.71761,0.36577,1.89302,1.22255,0.02459,0.000699446,0.000699446,0.000699446
13,10036,1.36416,1.4142,0.01052,0.78809,0.65717,0.73098,0.3756,1.77455,1.1385,0.02205,0.000696702,0.000696702,0.000696702
14,11573.6,1.34711,1.37647,0.01038,0.81816,0.64152,0.73857,0.39459,1.69523,1.10335,0.02076,0.000693728,0.000693728,0.000693728
15,12165.3,1.32419,1.31868,0.00997,0.853,0.67487,0.77122,0.41915,1.68004,1.08437,0.02152,0.000690525,0.000690525,0.000690525
16,12722.6,1.30989,1.27707,0.00989,0.8,0.71255,0.76339,0.41678,1.69849,1.07793,0.02157,0.000687097,0.000687097,0.000687097
17,13234.8,1.29658,1.27211,0.00975,0.79543,0.72355,0.77901,0.41857,1.68869,1.0688,0.02156,0.000683444,0.000683444,0.000683444
18,14779.9,1.29423,1.26679,0.00979,0.83335,0.70728,0.78977,0.44294,1.61623,1.0378,0.01975,0.000679571,0.000679571,0.000679571
19,15208.3,1.28467,1.21815,0.00964,0.83239,0.71743,0.7902,0.44066,1.59678,0.98518,0.02014,0.000675478,0.000675478,0.000675478
20,15482.5,1.27392,1.20942,0.00937,0.84928,0.70014,0.7878,0.4446,1.62859,0.94448,0.02051,0.00067117,0.00067117,0.00067117
21,15914.6,1.26513,1.18502,0.00957,0.85106,0.73904,0.80841,0.46127,1.56416,0.89869,0.01895,0.000666649,0.000666649,0.000666649
22,17556.7,1.26813,1.15289,0.00936,0.87549,0.70292,0.8037,0.46908,1.53495,0.9044,0.01875,0.000661919,0.000661919,0.000661919
23,18184.1,1.24807,1.14472,0.00919,0.85606,0.71348,0.80551,0.4704,1.56287,0.94749,0.01944,0.000656981,0.000656981,0.000656981
24,18487.1,1.22806,1.12197,0.00908,0.84534,0.73489,0.80886,0.49108,1.49008,0.89787,0.01862,0.000651841,0.000651841,0.000651841
25,258.132,1.51648,1.5452,0.01304,0.81185,0.66726,0.75115,0.42889,1.69564,1.07059,0.0253,0.000646501,0.000646501,0.000646501
26,666.336,1.29171,1.19956,0.01008,0.83425,0.69288,0.77544,0.44555,1.6075,0.97119,0.02084,0.000640965,0.000640965,0.000640965
27,1032.27,1.25833,1.15345,0.00962,0.84392,0.73693,0.7998,0.46836,1.58816,0.93627,0.01987,0.000635237,0.000635237,0.000635237
28,1395.83,1.23771,1.11658,0.00941,0.84967,0.71714,0.79238,0.4659,1.56428,0.9544,0.02004,0.00062932,0.00062932,0.00062932
29,1738.92,1.20848,1.0831,0.00901,0.86921,0.75721,0.82833,0.48879,1.53928,0.84473,0.01965,0.00062322,0.00062322,0.00062322
30,2062.4,1.20735,1.06397,0.00893,0.86941,0.74667,0.82077,0.49259,1.52001,0.84892,0.01885,0.000616939,0.000616939,0.000616939
31,2395.09,1.18893,1.03871,0.00888,0.86708,0.73769,0.8235,0.49316,1.54568,0.87005,0.01923,0.000610483,0.000610483,0.000610483
32,2818.29,1.19683,1.07914,0.0088,0.88135,0.76148,0.8386,0.51321,1.45606,0.84301,0.01785,0.000603855,0.000603855,0.000603855
33,3175.03,1.16978,1.01715,0.00876,0.87687,0.72236,0.8233,0.51715,1.43567,0.84706,0.01698,0.000597061,0.000597061,0.000597061
34,3501.2,1.16965,1.01639,0.0087,0.85849,0.76776,0.83111,0.51128,1.45093,0.83869,0.01758,0.000590104,0.000590104,0.000590104
35,3900.57,1.15664,0.99019,0.00855,0.89017,0.78582,0.85006,0.53093,1.45757,0.77101,0.01768,0.000582991,0.000582991,0.000582991
36,4174.93,1.13836,0.96359,0.0084,0.87766,0.75811,0.84365,0.52473,1.4653,0.78414,0.01779,0.000575725,0.000575725,0.000575725
37,4696.04,1.152,0.97924,0.00839,0.8934,0.73798,0.83344,0.53562,1.37734,0.82253,0.01591,0.000568311,0.000568311,0.000568311
38,5053.22,1.13837,0.96251,0.00827,0.91471,0.76527,0.85329,0.53656,1.41391,0.74476,0.01631,0.000560755,0.000560755,0.000560755
39,5380.44,1.12822,0.93158,0.00807,0.86984,0.76337,0.83507,0.54163,1.35573,0.81892,0.01593,0.000553062,0.000553062,0.000553062
40,5792.44,1.1188,0.92463,0.00804,0.87763,0.7554,0.83846,0.53861,1.41145,0.77106,0.01729,0.000545237,0.000545237,0.000545237
41,7643.34,1.10674,0.91209,0.00794,0.85923,0.77927,0.845,0.54417,1.35849,0.73663,0.01615,0.000537285,0.000537285,0.000537285
42,7998.62,1.10109,0.89817,0.00792,0.87716,0.75925,0.85308,0.56015,1.35461,0.7358,0.01645,0.000529212,0.000529212,0.000529212
43,8349.09,1.09139,0.89807,0.00776,0.83626,0.81068,0.85592,0.53882,1.42381,0.74726,0.01803,0.000521024,0.000521024,0.000521024
44,8753.45,1.08591,0.88023,0.00758,0.89779,0.77519,0.85927,0.56399,1.32355,0.72766,0.01552,0.000512726,0.000512726,0.000512726
45,9145.93,1.06904,0.87091,0.00759,0.88249,0.78695,0.85763,0.55603,1.36645,0.7088,0.01626,0.000504323,0.000504323,0.000504323
46,9590.01,1.07822,0.86335,0.00754,0.9038,0.77503,0.85982,0.57771,1.29266,0.74703,0.01578,0.000495822,0.000495822,0.000495822
47,9910.28,1.0627,0.84109,0.00745,0.87659,0.78269,0.86172,0.57952,1.28719,0.71686,0.01459,0.000487228,0.000487228,0.000487228
48,10262.1,1.04779,0.83229,0.00735,0.877,0.78693,0.85007,0.56459,1.31122,0.7422,0.01525,0.000478547,0.000478547,0.000478547
49,10653,1.07576,0.87551,0.00761,0.91943,0.76474,0.86054,0.56833,1.31193,0.74981,0.01561,0.000469786,0.000469786,0.000469786
50,11021.1,1.03829,0.84013,0.00731,0.87835,0.78633,0.85843,0.56529,1.35389,0.78179,0.01673,0.00046095,0.00046095,0.00046095
51,11499.2,1.04038,0.83176,0.00704,0.89968,0.78675,0.85753,0.57567,1.28642,0.78904,0.01559,0.000452044,0.000452044,0.000452044
52,11981.1,1.03847,0.81455,0.00708,0.90294,0.80565,0.87629,0.58106,1.3377,0.67908,0.01632,0.000443077,0.000443077,0.000443077
53,12312.5,1.03417,0.83705,0.00719,0.9206,0.78456,0.86911,0.59311,1.26512,0.68824,0.01447,0.000434052,0.000434052,0.000434052
54,12850.6,1.02318,0.81705,0.00712,0.89449,0.80766,0.87353,0.57826,1.33221,0.73563,0.01649,0.000424978,0.000424978,0.000424978
55,13204.2,1.00829,0.77705,0.00702,0.93204,0.77821,0.8719,0.5875,1.28946,0.68742,0.01518,0.000415859,0.000415859,0.000415859
56,13558.1,1.01017,0.78443,0.00693,0.90693,0.80926,0.86757,0.58596,1.30678,0.66547,0.01521,0.000406702,0.000406702,0.000406702
57,13888.7,1.01729,0.79954,0.00697,0.91091,0.79735,0.87924,0.58134,1.2848,0.65406,0.01486,0.000397513,0.000397513,0.000397513
58,14371.8,1.00433,0.7812,0.00694,0.90791,0.78907,0.86783,0.59669,1.24813,0.68786,0.0146,0.0003883,0.0003883,0.0003883
59,14722.1,1.0023,0.77742,0.00686,0.89606,0.80148,0.87552,0.59327,1.23539,0.6925,0.01398,0.000379067,0.000379067,0.000379067
60,15009.9,0.97871,0.7557,0.00663,0.92792,0.82411,0.89653,0.60688,1.29266,0.61961,0.01575,0.000369822,0.000369822,0.000369822
61,15381.9,0.98214,0.76359,0.00678,0.92185,0.79004,0.87882,0.60766,1.20787,0.66587,0.0135,0.00036057,0.00036057,0.00036057
62,15751.6,0.95402,0.73604,0.00666,0.92125,0.80118,0.8808,0.60725,1.23709,0.62867,0.01431,0.000351318,0.000351318,0.000351318
63,16191.7,0.96438,0.74403,0.00662,0.92278,0.79557,0.87726,0.60754,1.25061,0.65185,0.01493,0.000342073,0.000342073,0.000342073
64,16548.6,0.95708,0.73683,0.00658,0.90602,0.82784,0.87822,0.61389,1.21561,0.65506,0.014,0.00033284,0.00033284,0.00033284
65,16906.7,0.93884,0.70687,0.00627,0.91332,0.82442,0.87702,0.60466,1.21704,0.63486,0.01398,0.000323627,0.000323627,0.000323627
66,17210.2,0.93797,0.70833,0.00619,0.90672,0.82923,0.88609,0.60519,1.23112,0.64088,0.01433,0.000314438,0.000314438,0.000314438
67,17653.9,0.93829,0.72929,0.00644,0.93184,0.81822,0.88734,0.62074,1.23539,0.58989,0.01441,0.000305281,0.000305281,0.000305281
68,17926.2,0.92793,0.69816,0.00621,0.91888,0.82479,0.88716,0.61662,1.20555,0.60466,0.01353,0.000296162,0.000296162,0.000296162
69,19647.5,0.92826,0.70649,0.00626,0.91037,0.83808,0.89225,0.6331,1.15589,0.60833,0.01308,0.000287088,0.000287088,0.000287088
70,19987.8,0.92282,0.70094,0.00611,0.91203,0.82782,0.89393,0.63536,1.15369,0.6078,0.01261,0.000278063,0.000278063,0.000278063
71,20412.1,0.90954,0.69269,0.00608,0.93125,0.81943,0.89403,0.64444,1.13745,0.56613,0.01282,0.000269096,0.000269096,0.000269096
72,20760.7,0.90691,0.66914,0.00585,0.9147,0.81627,0.89149,0.62917,1.16792,0.62437,0.01301,0.00026019,0.00026019,0.00026019
73,21135.9,0.89464,0.66376,0.00583,0.93134,0.79686,0.89064,0.6291,1.1806,0.64279,0.01334,0.000251354,0.000251354,0.000251354
74,21481.3,0.89337,0.66957,0.00585,0.90711,0.82616,0.88515,0.61952,1.20317,0.62182,0.01348,0.000242593,0.000242593,0.000242593
75,21866.9,0.90192,0.67006,0.00583,0.91686,0.83199,0.89375,0.63393,1.17056,0.56471,0.01308,0.000233912,0.000233912,0.000233912
76,22222.9,0.88011,0.66118,0.00574,0.90401,0.83286,0.8932,0.62947,1.18877,0.58575,0.01332,0.000225318,0.000225318,0.000225318
77,22586,0.87081,0.65657,0.00583,0.91349,0.82447,0.89764,0.63664,1.15536,0.60666,0.0128,0.000216817,0.000216817,0.000216817
78,22881.3,0.87495,0.65755,0.00574,0.92836,0.80573,0.89643,0.63361,1.17476,0.62587,0.01324,0.000208414,0.000208414,0.000208414
79,23238.5,0.86806,0.63328,0.00555,0.91571,0.82467,0.90623,0.64521,1.14166,0.5642,0.01228,0.000200116,0.000200116,0.000200116
80,23607.2,0.85803,0.63178,0.00554,0.92645,0.82276,0.89701,0.64627,1.12637,0.56483,0.01196,0.000191928,0.000191928,0.000191928
81,23995.6,0.84913,0.61426,0.00549,0.91037,0.83255,0.90146,0.64813,1.14143,0.57569,0.01197,0.000183855,0.000183855,0.000183855
82,24348.8,0.84021,0.62671,0.00555,0.90357,0.82627,0.8974,0.6448,1.13957,0.60177,0.01197,0.000175903,0.000175903,0.000175903
83,24721.2,0.83497,0.6175,0.00542,0.92384,0.84597,0.90518,0.6591,1.12155,0.55009,0.01156,0.000168078,0.000168078,0.000168078
84,25036.1,0.82913,0.6074,0.00533,0.93002,0.82352,0.90121,0.65766,1.09633,0.57918,0.01108,0.000160385,0.000160385,0.000160385
85,25419,0.8312,0.59838,0.00525,0.91465,0.8538,0.9039,0.65806,1.09898,0.53849,0.01143,0.000152829,0.000152829,0.000152829
86,25811.8,0.82456,0.59404,0.00521,0.91941,0.85175,0.90806,0.65192,1.14459,0.53877,0.01221,0.000145415,0.000145415,0.000145415
87,26139.5,0.83124,0.61721,0.00529,0.92091,0.84437,0.90114,0.64966,1.12527,0.55107,0.01214,0.000138149,0.000138149,0.000138149
88,26514.6,0.80689,0.57438,0.00505,0.92153,0.83861,0.90044,0.64988,1.13197,0.57396,0.01203,0.000131036,0.000131036,0.000131036
89,26849.8,0.79923,0.57387,0.00505,0.92074,0.83944,0.90437,0.65498,1.11204,0.53353,0.01214,0.000124079,0.000124079,0.000124079
90,27282.7,0.81778,0.59135,0.00512,0.92528,0.84234,0.90407,0.64723,1.13188,0.53741,0.01205,0.000117285,0.000117285,0.000117285
91,29271.2,0.78895,0.5534,0.00494,0.92126,0.83364,0.9026,0.64731,1.13601,0.55577,0.0126,0.000110657,0.000110657,0.000110657
92,29542.3,0.81104,0.59847,0.00518,0.92007,0.85561,0.90889,0.65849,1.10264,0.55675,0.0117,0.000104201,0.000104201,0.000104201
93,29877,0.77836,0.54663,0.00484,0.93175,0.84925,0.90885,0.64251,1.15703,0.53751,0.01298,9.79203e-05,9.79203e-05,9.79203e-05
94,30210.4,0.79136,0.57151,0.00495,0.92342,0.84722,0.90612,0.65239,1.12266,0.52772,0.01228,9.18197e-05,9.18197e-05,9.18197e-05
95,30571.2,0.78631,0.56381,0.00491,0.95074,0.83188,0.91015,0.65723,1.10896,0.5297,0.01204,8.59033e-05,8.59033e-05,8.59033e-05
96,30922,0.78451,0.55851,0.00475,0.91093,0.85436,0.91045,0.65962,1.08605,0.55973,0.01139,8.01751e-05,8.01751e-05,8.01751e-05
97,31274.2,0.78578,0.56303,0.0049,0.91651,0.8544,0.90963,0.6563,1.11565,0.54102,0.01209,7.46391e-05,7.46391e-05,7.46391e-05
98,31686.6,0.76603,0.54957,0.00479,0.92615,0.84689,0.91051,0.66001,1.13004,0.53538,0.01241,6.92991e-05,6.92991e-05,6.92991e-05
99,32121.6,0.76518,0.54088,0.00475,0.93975,0.83327,0.91228,0.65913,1.09141,0.5556,0.0117,6.41587e-05,6.41587e-05,6.41587e-05
100,32726,0.77223,0.55782,0.00479,0.90679,0.86391,0.91124,0.65942,1.11698,0.535,0.01231,5.92214e-05,5.92214e-05,5.92214e-05
101,33125.5,0.76693,0.54685,0.00467,0.92825,0.85645,0.91402,0.66034,1.09839,0.53906,0.01188,5.44906e-05,5.44906e-05,5.44906e-05
102,33459.9,0.75532,0.53438,0.00468,0.94623,0.8389,0.91597,0.66231,1.1113,0.52643,0.01196,4.99697e-05,4.99697e-05,4.99697e-05
103,35303.1,0.76669,0.55217,0.00479,0.91397,0.85907,0.91431,0.66893,1.07349,0.54584,0.01152,4.56616e-05,4.56616e-05,4.56616e-05
104,35679.4,0.76182,0.5566,0.00468,0.93893,0.85176,0.9163,0.66835,1.10303,0.50382,0.01195,4.15693e-05,4.15693e-05,4.15693e-05
105,37383.4,0.74578,0.53517,0.00463,0.91896,0.86505,0.91246,0.66294,1.09205,0.51198,0.01173,3.76956e-05,3.76956e-05,3.76956e-05
106,37870.6,0.77488,0.55074,0.0046,0.94494,0.83933,0.91201,0.66662,1.07986,0.51368,0.01135,3.40433e-05,3.40433e-05,3.40433e-05
107,38251.9,0.7455,0.53341,0.00463,0.93987,0.84197,0.91109,0.66632,1.07482,0.51088,0.01131,3.06147e-05,3.06147e-05,3.06147e-05
108,40224.2,0.74721,0.53471,0.00461,0.92647,0.85673,0.91293,0.66908,1.06587,0.51016,0.01138,2.74122e-05,2.74122e-05,2.74122e-05
109,40648.9,0.72971,0.51714,0.00454,0.91257,0.85006,0.91181,0.65989,1.08335,0.51902,0.01155,2.44381e-05,2.44381e-05,2.44381e-05
110,41058,0.74963,0.53518,0.00454,0.95978,0.83475,0.91502,0.66381,1.08547,0.49264,0.01137,2.16943e-05,2.16943e-05,2.16943e-05
111,42750.3,0.65823,0.328,0.00386,0.90216,0.8701,0.90942,0.65293,1.10203,0.52257,0.01177,1.91828e-05,1.91828e-05,1.91828e-05
112,43145.4,0.64578,0.32187,0.00382,0.90705,0.87727,0.90948,0.65152,1.09426,0.52555,0.01191,1.69053e-05,1.69053e-05,1.69053e-05
113,43403.1,0.65363,0.32635,0.00379,0.91003,0.87467,0.90953,0.65096,1.10743,0.51983,0.01211,1.48633e-05,1.48633e-05,1.48633e-05
114,43713.6,0.64575,0.31528,0.00377,0.90951,0.8636,0.90815,0.65514,1.09695,0.52436,0.01204,1.30582e-05,1.30582e-05,1.30582e-05
115,44003.8,0.6436,0.32028,0.00381,0.90561,0.85934,0.90778,0.65213,1.09912,0.52265,0.01213,1.14913e-05,1.14913e-05,1.14913e-05
116,44336.5,0.63694,0.31717,0.00372,0.90165,0.86461,0.90767,0.65828,1.08622,0.51786,0.01187,1.01636e-05,1.01636e-05,1.01636e-05
117,46163.5,0.63819,0.31843,0.00372,0.90117,0.86548,0.90932,0.65853,1.09323,0.5165,0.012,9.07613e-06,9.07613e-06,9.07613e-06
118,46582.8,0.63706,0.31286,0.00364,0.93104,0.84453,0.91003,0.66038,1.08437,0.51836,0.0118,8.22951e-06,8.22951e-06,8.22951e-06
119,48133.6,0.6311,0.31166,0.00368,0.92903,0.84889,0.91057,0.66091,1.09207,0.50655,0.01182,7.62436e-06,7.62436e-06,7.62436e-06
120,48493,0.63768,0.31886,0.00373,0.93699,0.84661,0.91197,0.66226,1.0884,0.50161,0.01179,7.26111e-06,7.26111e-06,7.26111e-06
