epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.299,2.14947,4.37553,2.18168,0.00245,0.24762,0.0147,0.00635,2.65914,4.42147,2.59313,3e-05,3e-05,3e-05
2,41.6754,1.83381,4.13849,1.93082,0.0037,0.29206,0.02411,0.01371,2.27641,4.25962,2.23909,6.307e-05,6.307e-05,6.307e-05
3,69.3902,1.69649,3.9602,1.80668,0.00651,0.30317,0.04333,0.02165,2.04392,4.23102,2.10564,8.822e-05,8.822e-05,8.822e-05
4,96.9926,1.46334,3.73458,1.64404,0.01136,0.32698,0.10378,0.05712,1.99239,4.14993,2.07212,0.00010545,0.00010545,0.00010545
5,116.749,1.45672,3.63111,1.62291,0.01522,0.52698,0.15422,0.11232,1.96628,4.11453,2.0635,0.00011476,0.00011476,0.00011476
6,135.51,1.53914,3.41993,1.73515,0.01611,0.5254,0.18025,0.1225,1.8724,4.09536,1.96446,0.00011615,0.00011615,0.00011615
7,154.562,1.53496,3.38236,1.68155,0.0166,0.5254,0.19285,0.12334,1.83391,4.03707,1.93843,0.00010962,0.00010962,0.00010962
8,173.133,1.50323,3.10936,1.63842,0.01592,0.5254,0.2197,0.14872,1.85867,3.98447,1.97664,9.517e-05,9.517e-05,9.517e-05
9,191.713,1.34621,2.83085,1.56659,0.01567,0.5373,0.23071,0.15224,1.88448,3.9309,1.9813,7.28e-05,7.28e-05,7.28e-05
10,210.242,1.35589,2.7988,1.48243,0.01543,0.5373,0.23892,0.1533,1.88684,3.88244,1.95954,4.251e-05,4.251e-05,4.251e-05
