epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1372,2.11983,4.25086,2.20538,0.00224,0.24683,0.01449,0.0086,2.59033,4.16459,2.53058,5e-05,5e-05,5e-05
2,27.0953,1.84678,4.03785,1.99761,0.00331,0.26984,0.02784,0.00993,2.23196,4.07076,2.2356,9.911e-05,9.911e-05,9.911e-05
3,29.9394,1.62349,3.91088,1.78454,0.00787,0.33889,0.0731,0.0414,2.02427,4.00639,2.08677,0.00013634,0.00013634,0.00013634
4,32.1383,1.62415,3.76181,1.73529,0.0115,0.50397,0.18435,0.12761,1.89356,3.91037,1.98776,0.00016169,0.00016169,0.00016169
5,34.709,1.46681,3.39192,1.59991,0.01295,0.54921,0.20066,0.13679,1.87123,3.87027,1.98083,0.00017516,0.00017516,0.00017516
6,36.6988,1.47252,3.33759,1.53125,0.01237,0.54921,0.17297,0.12039,1.8472,3.76965,1.93161,0.00017675,0.00017675,0.00017675
7,38.072,1.50319,3.17154,1.58814,0.01152,0.5373,0.18468,0.12045,1.91477,3.64221,1.91856,0.00016646,0.00016646,0.00016646
8,39.342,1.43377,2.93746,1.49266,0.01137,0.5373,0.23786,0.137,1.9904,3.54331,1.97827,0.00014429,0.00014429,0.00014429
9,40.8182,1.39503,2.87791,1.49892,0.98662,0.09014,0.23806,0.14436,1.96044,3.42505,1.95376,0.00011024,0.00011024,0.00011024
10,41.9814,1.38529,2.62767,1.46811,0.9536,0.09686,0.24193,0.14818,1.97481,3.38173,1.96694,6.431e-05,6.431e-05,6.431e-05
