epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.67436,2.39,4.2467,2.32641,0.0147,0.25,0.02087,0.01066,2.00849,3.73463,2.24221,7.14e-06,7.14e-06,7.14e-06
2,3.16588,2.34937,4.28497,2.29173,0.01674,0.29167,0.02725,0.01062,2.00804,3.73526,2.25711,2.09959e-05,2.09959e-05,2.09959e-05
3,3.80049,2.25543,4.21185,2.17838,0.01783,0.25,0.03169,0.01636,1.99011,3.75204,2.1987,3.42863e-05,3.42863e-05,3.42863e-05
4,4.47045,2.23195,4.18719,2.17382,0.02563,0.29167,0.09118,0.05254,1.90991,3.78488,2.08696,4.70112e-05,4.70112e-05,4.70112e-05
5,5.16515,2.16827,4.14767,2.12722,0.03592,0.29167,0.1261,0.06982,1.78704,3.75917,1.95217,5.91706e-05,5.91706e-05,5.91706e-05
6,5.86497,2.05145,4.09661,2.05733,0.05829,0.41667,0.2042,0.10788,1.67652,3.71794,1.85401,7.07645e-05,7.07645e-05,7.07645e-05
7,6.53596,1.88334,4.04678,1.96048,0.06785,0.41667,0.25589,0.13493,1.62623,3.6983,1.77724,8.1793e-05,8.1793e-05,8.1793e-05
8,7.25611,1.9231,4.01852,1.92784,0.06923,0.41667,0.32501,0.17186,1.53573,3.70509,1.66906,9.22559e-05,9.22559e-05,9.22559e-05
9,7.88798,1.83193,3.91355,1.81646,0.05988,0.41667,0.3458,0.18064,1.52604,3.71486,1.68944,0.000102153,0.000102153,0.000102153
10,8.60773,1.80752,3.86181,1.82465,0.0587,0.41667,0.34599,0.18482,1.49571,3.73228,1.65266,0.000111485,0.000111485,0.000111485
11,9.30257,1.8202,3.80001,1.85404,0.05538,0.45833,0.35624,0.19743,1.49336,3.73328,1.65904,0.000120252,0.000120252,0.000120252
12,9.9962,1.8119,3.76745,1.74221,0.04953,0.45833,0.36281,0.19736,1.49887,3.73968,1.65367,0.000128453,0.000128453,0.000128453
13,10.6484,1.74354,3.62248,1.76606,0.04753,0.45833,0.34797,0.18816,1.52267,3.72306,1.68118,0.000136088,0.000136088,0.000136088
14,11.2911,1.7538,3.5171,1.80403,0.04852,0.5,0.3926,0.1778,1.55124,3.7192,1.72908,0.000143158,0.000143158,0.000143158
15,11.9821,1.74675,3.52267,1.74419,0.04338,0.45833,0.32112,0.15368,1.56735,3.69962,1.78167,0.000149663,0.000149663,0.000149663
16,12.6307,1.70045,3.35006,1.71369,0.04022,0.45833,0.31318,0.15074,1.6132,3.66862,1.81689,0.000155602,0.000155602,0.000155602
17,13.3343,1.65809,3.15823,1.62549,0.04256,0.5,0.36848,0.13316,1.65399,3.62335,1.83048,0.000160976,0.000160976,0.000160976
18,14.4439,1.77509,3.11455,1.69364,0.04102,0.5,0.43911,0.15341,1.64982,3.57347,1.8522,0.000165784,0.000165784,0.000165784
19,15.5174,1.71294,3.01956,1.681,0.04227,0.5,0.41964,0.15452,1.63269,3.49891,1.83935,0.000170026,0.000170026,0.000170026
20,16.4775,1.76155,2.89407,1.68021,0.59125,0.5,0.4589,0.16912,1.64741,3.39898,1.86671,0.000173703,0.000173703,0.000173703
21,17.1735,1.59097,2.68803,1.65163,1,0.27479,0.45932,0.17642,1.66771,3.28912,1.82403,0.000176815,0.000176815,0.000176815
22,17.8289,1.59667,2.66344,1.65274,1,0.26515,0.45432,0.2008,1.58408,3.22767,1.74386,0.000179361,0.000179361,0.000179361
23,18.5075,1.6915,2.66725,1.64002,1,0.21826,0.43933,0.18284,1.61131,3.13723,1.74285,0.000181342,0.000181342,0.000181342
24,19.1356,1.57643,2.47419,1.57265,0.93468,0.20833,0.41475,0.20287,1.62088,3.01226,1.74523,0.000182757,0.000182757,0.000182757
25,19.791,1.57018,2.3202,1.57074,0.92511,0.2212,0.49212,0.26139,1.65125,2.9673,1.75973,0.000183607,0.000183607,0.000183607
26,20.4914,1.51706,2.38529,1.50499,0.91531,0.24031,0.58589,0.30021,1.69116,2.87213,1.76807,0.000183891,0.000183891,0.000183891
27,21.1444,1.62935,2.42352,1.74797,0.94841,0.27334,0.61009,0.31662,1.76767,2.77898,1.84081,0.000183609,0.000183609,0.000183609
28,21.8156,1.61635,2.2751,1.57897,0.94841,0.27334,0.61009,0.31662,1.76767,2.77898,1.84081,0.000182763,0.000182763,0.000182763
29,22.5484,1.50679,2.28766,1.50296,0.9473,0.31707,0.61407,0.3268,1.78752,2.72972,1.88189,0.00018135,0.00018135,0.00018135
30,23.2105,1.58619,2.2769,1.55677,0.93981,0.36989,0.58978,0.296,1.83388,2.69438,1.9147,0.000179373,0.000179373,0.000179373
31,23.9195,1.66658,2.26717,1.58529,0.93981,0.36989,0.58978,0.296,1.83388,2.69438,1.9147,0.000176829,0.000176829,0.000176829
32,24.6044,1.48526,2.14598,1.52523,0.91519,0.375,0.57773,0.29117,1.86444,2.62445,1.95113,0.00017372,0.00017372,0.00017372
33,25.2623,1.46883,2.0948,1.54402,0.93162,0.3663,0.56388,0.2886,1.91004,2.49996,2.02134,0.000170046,0.000170046,0.000170046
34,25.8943,1.43939,2.08855,1.54511,0.93162,0.3663,0.56388,0.2886,1.91004,2.49996,2.02134,0.000165807,0.000165807,0.000165807
35,26.6525,1.52559,1.99877,1.45286,0.84857,0.375,0.54001,0.27668,1.95781,2.36231,2.089,0.000161001,0.000161001,0.000161001
36,27.805,1.44987,1.99254,1.45855,0.83963,0.375,0.5418,0.27779,2.03718,2.25725,2.17356,0.000155631,0.000155631,0.000155631
37,29.3123,1.49628,2.18747,1.4813,0.83963,0.375,0.5418,0.27779,2.03718,2.25725,2.17356,0.000149694,0.000149694,0.000149694
38,30.4893,1.43676,2.06027,1.50183,0.84796,0.41223,0.57778,0.26228,2.07918,2.1787,2.21954,0.000143193,0.000143193,0.000143193
39,31.4683,1.48437,1.90062,1.46814,0.8753,0.44306,0.65138,0.27304,2.11398,2.12204,2.24793,0.000136126,0.000136126,0.000136126
40,32.1169,1.48689,1.90239,1.50072,0.8753,0.44306,0.65138,0.27304,2.11398,2.12204,2.24793,0.000128493,0.000128493,0.000128493
41,34.0786,1.54301,2.01876,1.66239,0.97927,0.36649,0.65545,0.28163,2.11745,2.12597,2.26912,0.000120295,0.000120295,0.000120295
42,35.3004,1.4234,1.90281,1.56087,0.92772,0.44271,0.58732,0.25602,2.13249,2.17275,2.26083,0.000111531,0.000111531,0.000111531
43,35.9177,1.39269,1.90269,1.58411,0.92772,0.44271,0.58732,0.25602,2.13249,2.17275,2.26083,0.000102202,0.000102202,0.000102202
44,36.5781,1.45771,1.90486,1.66175,0.96492,0.40751,0.55429,0.23186,2.14039,2.18455,2.27875,9.23073e-05,9.23073e-05,9.23073e-05
45,37.2209,1.40586,1.85756,1.49847,0.96492,0.40751,0.55429,0.23186,2.14039,2.18455,2.27875,8.18472e-05,8.18472e-05,8.18472e-05
46,37.8679,1.40266,1.83177,1.5142,0.89222,0.4563,0.53938,0.23566,2.05564,2.20514,2.19857,7.08217e-05,7.08217e-05,7.08217e-05
47,38.5159,1.36439,1.76092,1.56261,0.89222,0.4563,0.53938,0.23566,2.05564,2.20514,2.19857,5.92306e-05,5.92306e-05,5.92306e-05
48,39.1995,1.28846,1.69304,1.51834,0.89149,0.42729,0.57375,0.25113,2.02692,2.16869,2.18112,4.7074e-05,4.7074e-05,4.7074e-05
49,39.868,1.27445,1.76868,1.50568,0.89149,0.42729,0.57375,0.25113,2.02692,2.16869,2.18112,3.4352e-05,3.4352e-05,3.4352e-05
50,40.9116,1.42332,1.90768,1.58093,0.96221,0.44158,0.6004,0.24928,2.01668,2.15952,2.1717,2.10644e-05,2.10644e-05,2.10644e-05
